Timestamp,Real,Imaginary
2477 ns,-260852,715489
2478 ns,-704199,75120
2479 ns,696747,-552903
2480 ns,-940497,723463
2481 ns,-1.59706e+06,16577
2482 ns,-727245,-200097
2483 ns,1.19273e+06,245796
2484 ns,-521792,259210
2485 ns,-232192,1.29898e+06
2486 ns,415618,-608264
2487 ns,-388393,1.11095e+06
2488 ns,810949,-669582
2489 ns,-665195,-246679
2490 ns,-1.37995e+06,-25786
2491 ns,835304,50416
2492 ns,531714,-629150
2493 ns,-584618,-1.37055e+06
2494 ns,410555,-571040
2495 ns,210818,453675
2496 ns,-26884,-1.05655e+06
2497 ns,-38125,786855
2498 ns,420111,-922115
2499 ns,516327,64153
2500 ns,-83035,217627
2501 ns,201716,-815026
2502 ns,1.09058e+06,160509
2503 ns,-130993,-1.25098e+06
2504 ns,-636461,833670
2505 ns,-1.05065e+06,465176
2506 ns,1.13495e+06,-282102
2507 ns,301750,372836
2508 ns,989061,-549524
2509 ns,-1.034e+06,-1.3911e+06
2510 ns,611316,-612191
2511 ns,1.01607e+06,252041
2512 ns,-451896,-384270
2513 ns,-1.30472e+06,440891
2514 ns,-167527,890453
2515 ns,-411560,187198
2516 ns,1.85009e+06,1.32579e+06
2517 ns,556107,876175
2518 ns,783595,-146046
2519 ns,1.01072e+06,-1.2737e+06
2520 ns,-100503,-585714
2521 ns,-815900,-1.10955e+06
2522 ns,917254,-952245
2523 ns,-1.73946e+06,134985
2524 ns,885425,-814767
2525 ns,169791,-232161
2526 ns,25219,-288624
2527 ns,1.21329e+06,317051
2528 ns,-1.57742e+06,-483018
2529 ns,-459399,1.59742e+06
2530 ns,-731595,1.04461e+06
2531 ns,528798,157974
2532 ns,-743213,196516
2533 ns,141487,270494
2534 ns,-72630,958356
2535 ns,-402976,3315
2536 ns,-121670,1.23857e+06
2537 ns,-147770,436549
2538 ns,321714,-513459
2539 ns,-231807,-906068
2540 ns,693187,-30257
2541 ns,-451278,-277675
2542 ns,-1.19981e+06,-568015
2543 ns,489848,-780024
